CBSE GRADE 4,CBSE GRADE 5,CBSE GRADE 6,CBSE GRADE 7,CBSE GRADE 8,CBSE GRADE 9,CBSE GRADE 10
,,,,,,
Video I'D,Video I'D,Video I'D,Video I'D,Video I'D,Video I'D,Video I'D
15376,"4293,8559","16156, 16157, 16158, 16159","15333,15335,15334","4526,13640,4619,13645","15333,15326,15327,15391,15329,14712","17279,13664"
No video,"567,9849,17218,9850","4293,12292","15771,5967,4697,13610,15945,17273","13836,6357,13657","16195,16196,16197","17280,17281,8598"
7863,"12292,16169","16172, 16173","14187,14182,14184","4526,13640,13641","13661,16349,14482,15023","17282,17283,17284"
"16168,16167","567,17219,17220,10373,3650","15343,15341","15944,13609","14196,14036,14023","14065,14062,14066,14068",10944
"17323,16954,16955,16956,16957",7734,"17325,17326",13650,"4619,13645","17275,17276,17277,17278",3404
"12292,16169","567,17324","15346,15354,15356","13613,13609","15961,17274,14034,14036","6914,15655,15778","8598,16344,17327"
,,,,,,
"17354,17355,17356,10644,85",16170,"16158,16159,16173",606,"7385,13645","15389,4695,632,10204,10278","17360,17365,17366"
"16167,16169,16170","8426,16958,16959,16960","15343,15341,13728","10023,5116,322",615,"14141,10771","16344,15467,642,14015,13181,6652"
"10846,555,17357,10769","8559,16170",16391,"606,6287",13645,"13664,10360,17359",17361
"16167,16170","570,7935","15341,15346,13728",5116,"15961,17274,14034,14036","14805,14806,14799,14800","17376,17362,17363"
"8426,16958,16959,16960","16167,17285","16391,15100","7879,13925,13836,16961,13853,14531","13667,13670,13672,13673","14151,14152,17401","7822,17375,7362"
"15854,15855","16842,10752,17358,10941,10999",15356,"15437,15438,13757","14196,7966,14026",14142,"10807,10759,17360"
,,,,,,
"10645,3944,17354","15128,11441,17424",15100,"13653,13657","14206,14208,14209,14212",630,"10760,10761,10517"
15857,"16842,4006,16843","9841,11816,9840","13759,13760,13761,13763","13652,13655","15135,14728,15136,15137","10886,10851,10852,10853"
"17413,85,3944","17422,11216,17423","15119,15121,15120,15126,15127,13598","13653,13663",17436,"10512,10513,10225","16966,14089"
